Reviews,Sentiment
"Very accomodating of our party, including our 7 month old baby. Friendly server. Modern, luxe decor, lots of space. Food good if portions quite small.",2
Very good service and good food. Restaurant was hopping.,2
"We booked a table for dinner, to celebrate a friendâs birthday. The place was packed and service was a little bit slow. We ordered our main course, we then asked for a dessert menu, the waitress left it and disappeared for 20 minutes. When she returned she told us we couldnât order our dessert because the kitchen was closed. I was really disappointed, they knew we had to get a dessert and have a candle to celebrate the birthday. 

Overall the place was crowded,  noisy and service really slow. Food was okay nothing special, we had ordered mash and vegetables and we were told there was no mash and veg left and forced to have garlic fries instead.
Very disappointed!",1
We had an amazing two night stay. From receptionist to bedrooms to Sophies and the Elephant castle all were top class. One of the nicest stays we have had anywhere in the longest time. Already planning our next stay can't wait. We want the give a huge shout out to Fiona in Sophies she was absolutely amazing . Always in great fun form and nothing was to much for her . Simply amazing. But all staff were 100% but she stood out to us. Thank you again everyone ye are amazing bunch of people who love their jobs xxx,2
Such a fun place for dinner and drinks on St Patrickâs day. Food was absolutely delicious. Service was lovely. Cocktails fun. Beautiful view.,2
"I have to say I was disappointed with the menu having been there several times before. I brought my (aged) parents for a St Patrick's weekend treat and only having a bunch menu at 2.30pm in the afternoon with only one non-breakfast choice ( the chicken burger, apart from pizza's ) was very limiting and really disappointing. II know I should have checked in advance but having been therefore socially and on work nights I naively  assumed the menu would be equally as varied.  Still made the most of it and they enjoyed the experience",0
The environment was spacious and exquisite!!! What a charm and the food was grand!!! Although I do believe they should remove the ham wrapped purple cauliflower from the menuâ¦. Otherwise it was a delight!!!!,2
"The view is  amazing on 2 sides depending on where you are sitting A pity terrace doesnât go all the way round.
Staff dressed very casually despite dress code for customers.Staff were certainly courteous and friendly.
Food was average Caesar salad had fatty bacon with a lot of lettuce Pork belly a lot of fat also Main courses very small with little vegetable.
CrÃ¨me brÃ»lÃ©e was cold. Men in my group were not happy after 3 courses. Food was poor value for money. I know now why it was only place available for Mothers Day",0
"Drinks, food and service all good.  I didn't like that the tables are on top of each other. It makes it very awkward when sitting beside other couples.",2
My two friends and I had a lovely Saturday brunch at Sophieâs. The food was delicious and the service was great. The restaurant was busy enough to provide a nice atmosphere and we especially enjoyed the beautiful view. We all agreed that we would definitely return and would love to try out the evening menu.,2
I wasnât happy with the pizza I got as it was sopping wet and very doughy,0
It was a busy time and service was slow as a result. Staff were lovely though and the food and atmosphere was nice.,1
"Overall a wonderful experience, butâ¦
1. Poor/no gluten free options  
2. Birthday message on dessert was forgotten &
3. Crispy bacon for breakfast was not crispy.",2
"A+ for ambiance. The restaurant is beautiful inside with a fantastic view of Galway.
The food was good. With a decent cocktail and wine selection. I think they must have been short staffed - with two people taking care of the whole place.",1
"Slay, just absolutely slay, slayyyyyyyyyyyyyyyyyyy",2
Music was very loud at our table. It was turned down and we were told that was the lowest it could go which was still too loud. Ordered 2 wines which were out of stock. Picked a 3rd and when we ordered a second bottle after our starter it did not come until we were already eating the mains. Ordered seafood spaghetti and the mussels had not opened and so unsafe to eat. I mentioned to the wait staff who said they would tell the kitchen but nothing further was said. One persons dessert out of 6 was forgotten. Food overall was really bland and disappointing. Style over substance,0
"Food and service was excellent. Asked for one of there best tables to celebrate wedding anniversary, and they did not let us down. Very good experience.",2
Service was very disappointing. It was busy to be fair but not exceptionally busy.,1
"Overall very nice experience in beautiful place, great service but seafood linguine tasted more like a baby food, cold pasta with plain tomato sauce and very few prawns and mussels really disappointed me, never eat anything worst than that ð¢ my husband had calzone and it was really nice, beautiful cocktails .",0
Food was nice. Service overall was very poor. Chips came after the mains as there was a delay with the kitchen. We didn't have time to order desert as the table was needed back and barely able to get a coffee. Won't be back,1
Great venue fantastic service would happily return!,2
"We booked this meal as a special night out with a friend visiting from abroad. Unfortunately it didn't live up to our expectations or matched our previous visit. Service was lacklustre. Our main server seems disinterested. No ""hi, how are you"", just perfunctory. Slouched against the wall when taking our order. No lamb available which wasn't mentioned when menus were given leaving two of our party disappointed. No drinks menu given, no salt/pepper on the table, no cooler for bottle of wine. No one checked on us during our meal. The lady who served the food was a breath of fresh air, cheerful and friendly. Food was ok. Risotto needed more depth of flavour and some fresh black pepper. Definately overpriced. Pizza was tasty. Love the room, good atmosphere but unfortunately we won't be rushing back.",0
"It was a very nice lunch we had.
And the view is outstanding.
Highly Recommended",2
Met by friendly staff when we got there but then had to ask for our drinks having ordered them when we sat down. We then waited an hour for our mains to come out having had no starters - not even a basket of bread to keep us going. They did acknowledge this and took 2 drinks off our overall bill. Staff did their best but it's not very well run. Nobody seems to be overseeing what's going on.,2
"It was my first experience, i loved it, so beautiful and pretty sure k will ne back in the summer time, good service just from the moment i arrived to the waitress , keep it up guys",2
Enjoyed just need to change menu .. as in more options for starters and mains,2
Highly recommend. The only thing I could fault was we were sitting very close to other guests.,2
"Unfortunately a disappointing experience. The quality of the food wasnât great and despite specifically asking for hard fried eggs, they were the exact opposite",0
"Had a fabulous meal, super service, tasty food and great atmosphere",2
"Really good place for a gathering with friends/coworkers or a date night where you want to impress t that special one!!!
Definitely recommend it!!",2
We had a very enjoyable dinner in Sophies. Good menu selection to suit everyone's palate and modern decor. Service was very good.,2
"Food and drink extremely overpriced for what we got, nothing out of the ordinary. Restaurant and hotel decor was fabulous, very trendy vibe and can see money was well spent but food wise Iâve had better and for much better price.",0
"Cold.
 Dj not great at all.
Waitress lovely and friendly.",2
"Super friendly staff. We felt well looked after.
There is a lovely atmosphere in the place.",2
Requested flowers didnât have any. Food was nice but expensive,2
"We ordered pizzas which were soggy and the chips had seen better days! Desert was amazing and the atmosphere is great. Staff were lovely and the restaurant is beautiful, Will probably be back!",0
"Diavola pizza is fab, setting is great, wine is great",2
"Our experience was amazing, food, drink and service were second to none. Looking forward to returning.",2
"Great spot, lovely food, great service and good atmosphere",2
"The steak was burnt, served with fries and arugula, not worth the price.",2
"Steaks perfectly cooked, chicken was phenomenally prepared moist and tender.
Cocktails were consistent and really nice, hit the spot.

Music levels can drown out conversation across the table",2
Food was fine . Nothing special for the price . The portion of chips we ordered were undercooked .   Staff were lovely and friendly and service very good .,1
The food was great and staff were lovely - I canât remember the name of the young girl who served us but she could not have been more accommodating!,2
"Lovely food ,lovely staff and  lovely evening had.",2
"This was a pleasant experience but I have a real problem with the drinks menu. As a recovering alcoholic I was pleased to see a selection of non-alcoholic cocktails on the menu. However, it tasted of alcohol when it arrived. I asked our waitress only to be told that there was 0.0 gin in my cocktail. This was not included on the contents list on the menu. This was OK by me but would pose a serious problem with some of my fellow addicts. This could easily be the trigger that causes a relapse. This is completely unacceptable.",2
Was lovely and relaxing with lovely staff and amazing  food,2
"My husbands starter, scallops were underdone slightly. And the steak wasnât the best quality, when you are paying so much for it. 
I really enjoyed my soup and supreme chicken and would recommend, first time there, would go back to give another try but not for a good while. The interiors are amazing and really worth seeing.",1
Menu was quite limited. There were no deserts available for coeliacs and limited options for starters/mains.,1
Absolutely fabulous evening in Sophiaâs restaurant on 1.1.2024 . The staff were superb . Food delish . Highly recommend and will definitely be back . Thank you,2
"Lovely Brunch this afternoon. Thanks to Amelia for looking after a birthday plate for my daughter.

Will be back soon",2
"We had booked for New Yearâs Eve as an early seating at 6:30 and ordered two pizzas and two sides to share and was told it was policy to order 1 main course per person. From this point on the service was awful, the staff was so rude and it was an extremely uncomfortable experience.",1
"Really enjoyed our dinner at Sophieâs. The food was incredible from start to finish. I had the pork belly to start, cod for main and brownie for dessert. Service was very good and very prompt. There is also a really nice atmosphere there, the decor is cool. Only downside was that we were sat at a lovely table in the corner beside the window and it was really cold and drafty!",2
"Fantastic Brunch!! Great service, will be back again.",2
"OK experience, maybe the view is worth it. Disappointed with food and menu",1
"Gorgeous food, great service and wonderful atmosphere. The waiter at the desk was very helpful and was very kind to take many photos of us on the swings outside the restaurant. A fantastic experience overall.",2
"Terrible food and super overpriced !
I wouldnât recommend to anyone really!",0
"When we arrived at Sophieâs there was a very reduced menu. They were not serving pizzas, prawns and pasta. The service was very slow.",0
Was looking forward to brunch but only on sat and Sundays â¦ lunch menu was bit expensive,2
"Everything was great,  will come back for sure .Highly recommend it",2
"Beautiful food with excellent service, loved everything about this restaurant",2
Great food and the waitress was so polite and helpful,2
"Stayed at The Dean with my family and we ate in Sophieâs. It has the whole package, great food, excellent service, great atmosphere. Itâs a 3-hr drive for us but we will definitely return again! Definitely recommend everyone to go to Sophieâs.",2
Although the restaurant was quiet when we arrived it was 20 minutes before anyone came to take our order. There appeared to be plenty of staff wandering around doing nothing. When our order was taken it was also very slow coming. The food was very good and we enjoyed our meal and the ambiance. Just a pity about the service,2
Staff were excellent. Food was delicious. Excellent enviroment,2
"Very friendly staff. Great ambience, tasty food. Cocktails could be improved / quality better- no passion fruit slice on passion fruit martini and was very watery. Flat Prosecco with it. (Didnât bother saying it as staff were fabulous and service was excellent overall - mains and starters fab/ steaks cooked to perfection , sticky toffee pudding was cold apart from the sauce on top and was a little stale. Sauce on it was delicious though! Really enjoyed our meal! Elephant and castle for breakfast in morning was also lovely. Again staff are excellent. Thanks :-)",2
"Food was a disaster !
Both lamb and steak were cold and potatoe garnish not cooked and tasteless had to send back ordered more starters. Not tasty at all service was slow but staff were ok  
Very disappointing bringing staff to Christmas party and too expensive for the quality of food and drink.
Overall very poor",0
Will definitely be back again soon! Really enjoyable!,2
"The place is lovely. However, the food was just right. Not plentiful and quite salty. Maybe we'll come back for cocktails but I don't think we'll be back for dinner",0
Fabulous food and lovely staff and pleasantly surprised with the price.,2
"Had dinner menu, on Thursday night. Fantastic atmosphere and well organised.
Food was of a premium standard, at a good price point. 
I would and have recommended Sophies based on my positive experiences.",2
"Excellent all-round to be fair, can't fault anything",2
Food terrible and so expensive for what it is.  Only saving grace is the ambiance,0
"Food excellent, great atmosphere, highly recommended.",2
"3 steaks & one chicken dish, food would have been gorgeous if it was served hot, it was nearly cold",0
Great service. We were really well looked after by Suzanna who ensured that my gluten free meal was just that. Would like to see a better selection of gluten free options.,2
"Such a lovely evening, food, wine, service was so good. We didnât catch his name but we had the most lovely and attentive server. 
Food was flavoursome and so tasty. We will definitely be back",2
Lovely atmosphere and ambiance for a Christmas  get together. Staff friendly and helpful.,2
"Sophies@The Dean is a lovely venue, positive friendly staff but the mains are over priced for what they contain.",1
"The staff in Sophieâs were so helpful, Rita and Hannah both served us and were great. Food was tasty, cocktails were delicious. Would highly recommend",2
Food is good but overpriced. I got the chicken supreme (â¬25) and it only came with broccoli there was no side of potato. For the price id expect to get a full meal. Otherwise the staff were friendly and the restaurant itself is modern and has good views of the city.,1
"Limited choice, no specials and the lamb was off the menu. The steak was 8oz, instead of 10oz on menu. But we were still charged the full price. Cocktails were pricey and were only so so. Avoid if you can!",1
"Had a lovely meal with my aunt and my sister, Bernardo was so friendly and very attentive. The food was tasty and staff were so lovely.",2
"Disappointing.  Sophie's does not deliver what it promises. This is not a 'first time' bad day, but a repeated poor experience. The waiting staff are bravely holding together a shoddy effort of a restaurant",0
